Disease,Description
Flu,Viral infection causing fever cough headache and fatigue
Cold,Common viral infection causing sneezing runny nose and sore throat
Diabetes,Chronic disease that causes high blood sugar levels
Hypertension,Condition characterized by persistently high blood pressure
Asthma,Respiratory disease causing breathing difficulty and wheezing
Allergy,Immune system reaction to allergens causing sneezing and itching
Hepatitis,Inflammation of the liver usually caused by viruses
Chickenpox,Contagious viral disease causing itchy skin rashes and fever
Measles,Highly contagious viral infection causing rash and fever
Cholera,Bacterial infection causing severe diarrhea and dehydration
Kidney Stone,Hard mineral deposits formed inside the kidneys
Arthritis,Inflammation of joints causing pain and stiffness
Thyroid Disorder,Condition affecting thyroid hormone production and metabolism
Depression,Mental health disorder causing persistent sadness and loss of interest
Anxiety Disorder,Mental health condition causing excessive fear and worry
Heart Disease,Group of conditions affecting the heart and blood vessels
Migraine,Neurological disorder causing severe recurring headaches
Anemia,Condition in which the body lacks enough healthy red blood cells
Gastritis,Inflammation of the stomach lining causing pain and indigestion
COVID-19,Respiratory illness caused by the SARS-CoV-2 virus
Dengue,Viral disease spread by mosquitoes causing fever and body pain
Malaria,Parasitic disease transmitted by mosquitoes causing fever and chills
Typhoid,Bacterial infection causing prolonged fever and weakness
Tuberculosis,Bacterial disease mainly affecting the lungs
Pneumonia,Lung infection causing cough fever and breathing difficulty
Bronchitis,Inflammation of the bronchial tubes causing persistent cough
