Disease,Medicine
Flu,Paracetamol
Cold,Cetirizine
Diabetes,Metformin
Hypertension,Amlodipine
Asthma,Salbutamol
Allergy,Loratadine
Hepatitis,Tenofovir
Chickenpox,Calamine Lotion
Measles,Vitamin A
Cholera,ORS
Kidney Stone,Tamsulosin
Arthritis,Ibuprofen
Thyroid Disorder,Levothyroxine
Depression,Sertraline
Anxiety Disorder,Escitalopram
Heart Disease,Aspirin
Migraine,Sumatriptan
Anemia,Ferrous Sulfate
Gastritis,Omeprazole
COVID-19,Paracetamol
Dengue,Paracetamol
Malaria,Artemether-Lumefantrine
Typhoid,Azithromycin
Tuberculosis,Rifampicin
Pneumonia,Amoxicillin
Bronchitis,Dextromethorphan
